brand,brand_total_registered,brand_median_vehicle_age,brand_mean_vehicle_age,brand_median_mileage,brand_mean_mileage,brand_median_engine_cc,brand_median_power_kw,brand_median_mass_kg,brand_share_of_market,brand_share_over_10y,brand_share_over_200k_km,brand_automatic_share,brand_petrol_share,brand_diesel_share,brand_ev_share,brand_hybrid_share,brand_turbo_share
ford/dethleffs,3,18.0,17.666666666666668,163994.0,177713.0,2000.0,92.0,2765.0,1.1695623731512142e-06,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
fiat-tabbert,3,32.0,31.33333333333333,290173.0,281889.3333333333,2490.0,70.0,2640.0,1.1695623731512142e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666
man tge affinity,3,0.0,0.3333333333333333,350.0,309.0,1968.0,130.0,3150.0,1.1695623731512142e-06,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0
man-carthago,3,18.0,17.0,114212.0,111490.33333333331,6870.0,176.0,,1.1695623731512142e-06,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.6666666666666666
stutz,3,7.0,8.0,70547.0,55162.0,5657.0,164.0,1920.0,1.1695623731512142e-06,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0
fiat-viva,3,28.0,28.0,117730.0,140944.0,1930.0,85.0,2580.0,1.1695623731512142e-06,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.6666666666666666
joint,3,15.0,15.666666666666666,99684.0,116695.0,2198.0,74.0,2664.0,1.1695623731512142e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
polster,3,4.0,5.0,280275.0,261080.3333333333,2143.0,120.0,2580.0,1.1695623731512142e-06,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
durant,3,42.0,34.666666666666664,66646.0,59439.0,3260.0,43.65,1230.0,1.1695623731512142e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
matra,3,27.0,30.0,50820.0,89771.33333333333,1699.0,61.0,990.0,1.1695623731512142e-06,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vw-westfalia,3,30.0,33.0,412811.0,433861.3333333333,2370.0,57.0,2228.0,1.1695623731512142e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666
setra,3,29.5,29.5,493371.0,485761.6666666667,,306.0,,1.1695623731512142e-06,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,1.0
mb-rapido,3,18.0,18.33333333333333,137243.0,137994.0,2680.0,115.0,3185.0,1.1695623731512142e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
mercus,3,7.0,7.666666666666667,325115.0,357556.6666666667,2143.0,120.0,2580.0,1.1695623731512142e-06,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0
fordson,3,73.0,50.0,6604.0,32700.33333333333,1172.0,28.75,1050.0,1.1695623731512142e-06,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alvis,3,11.0,9.0,63312.0,53892.0,2993.0,83.5,1524.0,1.1695623731512142e-06,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dongfeng,3,0.0,0.0,290.0,280.0,,,1430.0,1.1695623731512142e-06,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0
peugeot-hobby,3,33.0,31.33333333333333,134877.0,117082.66666666669,2440.0,70.0,2500.0,1.1695623731512142e-06,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333
lynk and co,3,4.0,4.0,48109.0,50239.0,1477.0,132.0,1954.0,1.1695623731512142e-06,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
mercedes-benz-la strada,3,21.0,19.33333333333333,300121.0,298697.3333333333,2685.0,115.0,2625.0,1.1695623731512142e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
lucid,3,0.0,0.0,22.0,30.0,,602.0,2262.0,1.1695623731512142e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
fiat-rotec,3,25.0,26.0,199805.0,219651.3333333333,2800.0,90.0,2815.0,1.1695623731512142e-06,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
goljat,3,26.0,26.0,54147.0,54147.0,1090.0,40.0,950.0,1.1695623731512142e-06,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
