model_type,feature_variant,config_name,target_mode,feature_count,best_iteration,validation_MAE,validation_RMSE,validation_R2
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_003,raw,63,554,31.65411797766858,101.31655942735385,0.9680686539723784
xgboost,trusted_registry_lifecycle_stack,log_absoluteerror_balanced,log,40,2174,32.37197523654127,139.22139340875114,0.9397068031270875
xgboost,trusted_recommended_features_without_date_offsets,random_search_013,log,66,2092,32.451281147988354,147.34559253620353,0.9324647271796537
xgboost,trusted_recommended_features,random_search_015,raw,67,2531,32.506065411113156,86.15832465426921,0.97690856883622
xgboost,trusted_extended_traficom_stack,random_search_013,log,62,2044,32.86238813149508,148.25755020755676,0.9316261557005324
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,log_absoluteerror_regularized,log,65,2593,33.13923254800455,143.3291171705076,0.9360964167141027
xgboost,trusted_recommended_features_without_date_offsets,random_search_015,raw,66,2531,33.197522106362634,91.57165694703482,0.973915740948222
xgboost,trusted_registry_lifecycle_stack,random_search_015,raw,40,2158,33.21709964948692,95.60518686547428,0.9715672236574244
xgboost,trusted_extended_traficom_stack,random_search_015,raw,62,2218,33.30752749762075,91.23803132124372,0.9741054617576866
xgboost,trusted_registry_lifecycle_stack,random_search_005,log,40,2069,33.41071881778385,123.55023400423069,0.9525164146303265
xgboost,trusted_recommended_features,random_search_013,log,67,2070,34.44527609850524,146.24223767077473,0.9334723769799417
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_015,raw,63,2069,34.59548414827734,95.41366556455523,0.9716810255996624
xgboost,trusted_registry_lifecycle_stack,random_search_013,log,40,1797,34.735345398050946,147.89743119469466,0.9319579137373682
xgboost,trusted_registry_lifecycle_stack,random_search_017,raw,40,954,35.18454583881168,112.9351016025743,0.9603252450274462
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_013,log,63,1549,35.39407025087315,151.90574403017567,0.9282197854899872
xgboost,trusted_recommended_features_without_date_offsets,random_search_006,raw,66,669,35.84080567571663,143.54477100054635,0.9359039726345291
xgboost,trusted_manual_all_features_usable_by_xgboost,log_absoluteerror_regularized,log,63,2597,36.06318117982714,145.18391021839685,0.9344317885174934
xgboost,trusted_registry_lifecycle_stack,random_search_014,raw,40,450,36.07184613974861,136.13005474008358,0.9423546344214984
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_007,raw,65,577,36.106936900724385,165.342257249188,0.9149598369747756
xgboost,trusted_recommended_features,raw_absoluteerror_balanced,raw,67,456,36.339615856055474,168.21026215352003,0.9119840593466184
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_006,raw,65,196,36.64010724326857,156.92635263511178,0.9233965867719418
xgboost,trusted_recommended_features,random_search_006,raw,67,753,36.80773482156125,169.75614561427844,0.91035885997464
xgboost,trusted_extended_traficom_stack,random_search_006,raw,62,285,36.86118350257671,151.31901679281324,0.9287732085754841
xgboost,trusted_recommended_features_without_date_offsets,random_search_001,raw,66,689,37.30573504884403,170.97494550565781,0.9090670443582817
xgboost,trusted_extended_traficom_stack,log_absoluteerror_regularized,log,62,2599,37.5092836034854,154.2494351814614,0.9259877641086373
xgboost,trusted_recommended_features,random_search_001,raw,67,722,37.6813241162478,177.2899195467005,0.9022257607973108
