seed,split,mean,median,std,min,max,p25,p75
88,test,319.1690812720848,109.55,645.2644547764709,5.9,3986.5,59.0,259.6
89,train,270.49905374716127,95.2,590.5757020347219,5.9,4641.0,47.6,236.5
89,validation,331.20041055718474,117.9,797.581133623578,11.8,4641.0,60.4,236.0
89,test,211.21136094674557,95.2,402.7451110236417,5.9,3927.0,53.1,189.2
90,train,300.8958591086984,121.4,659.6214327617092,5.9,4641.0,59.0,238.0
90,validation,166.2654929577465,71.2,299.12262643197323,5.9,2142.0,47.4,165.1
90,test,235.20454009433965,94.4,547.4120400699948,5.9,3986.5,47.4,213.1
91,train,295.5204269833249,106.6,646.4683684153351,5.9,4641.0,59.0,237.2
91,validation,189.21804154302671,88.5,331.89074889073066,5.9,4391.1,47.4,190.4
91,test,236.88796511627908,94.9,601.9480128459713,5.9,4165.0,53.3,192.925
92,train,279.27369019063246,107.1,620.9538359092677,5.9,4641.0,59.0,236.5
92,validation,203.00374926772116,85.2,437.1632431061624,5.9,3808.0,47.6,186.55
92,test,299.44778499704665,101.3,663.3669873070369,11.8,4641.0,47.4,235.9
93,train,262.2359532193159,113.0,564.8061733762844,5.9,4641.0,56.2,236.5
93,validation,220.20557863501486,83.0,496.84410871573675,5.9,4641.0,47.6,186.5
93,test,361.800890736342,106.4,831.3797622960728,5.9,4391.1,59.0,265.65
94,train,277.6322027487076,130.2,594.9555689510803,5.9,4641.0,59.0,237.2
94,validation,301.298820058997,94.4,632.4881559841548,5.9,4391.1,47.6,222.1
94,test,208.2695575221239,71.1,615.1349557290982,5.9,4641.0,47.4,142.1
95,train,281.2060877237207,121.2,601.6411192493472,5.9,4641.0,59.0,237.2
95,validation,170.376800472255,70.8,441.2190403799156,11.8,4391.1,47.3,177.4
95,test,322.452451269935,94.8,733.6356193233191,5.9,4343.5,59.0,213.1
96,train,295.47872743340486,106.6,658.0868152683171,5.9,4641.0,59.0,237.2
96,validation,187.7531927357938,94.7,394.47417776412755,5.9,4641.0,47.4,189.4
96,test,239.0063201417602,94.9,498.50787593123323,5.9,3064.3,53.3,177.6
97,train,280.27337875346956,120.3,564.0067154938263,5.9,4343.5,59.0,237.2
97,validation,240.126603884638,77.8,679.5718315519064,5.9,4641.0,47.2,177.5
97,test,257.19192216981133,83.3,698.2811568624104,5.9,4289.9,47.4,177.9
98,train,288.99350846173274,118.3,612.877747377534,5.9,4641.0,59.0,238.0
98,validation,244.90962219598583,84.05,642.6699871353376,5.9,4391.1,47.6,189.4
98,test,212.1076067875951,82.9,514.182126173722,5.9,3808.0,47.6,160.1
99,train,248.38625472887767,106.1,563.3364462367866,5.9,4641.0,55.2,225.0
99,validation,303.72720848056537,94.9,675.5496200046094,5.9,4641.0,53.4,237.2
99,test,342.6979326639102,94.9,699.9468132963484,5.9,4391.1,53.2,261.0
