product_id,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
54403966,6,319.7167,319.9,1.0172,1.0347,0.0032,318.4,321.3,2.9
65434864,6,319.7167,319.9,1.0172,1.0347,0.0032,318.4,321.3,2.9
65806379,6,319.7167,319.9,1.0172,1.0347,0.0032,318.4,321.3,2.9
53371576,6,319.5833,319.5,1.0106,1.0214,0.0032,318.4,321.3,2.9
63021001,6,319.5833,319.5,1.0106,1.0214,0.0032,318.4,321.3,2.9
64496424,6,319.5833,319.5,1.0106,1.0214,0.0032,318.4,321.3,2.9
53523674,5,331.64,331.5,0.9749,0.9504,0.0029,330.3,333.2,2.9
57733393,5,331.64,331.5,0.9749,0.9504,0.0029,330.3,333.2,2.9
54223177,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
54244809,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
54245168,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
54247541,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
54253076,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
54253079,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
54263144,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
59823602,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
59823603,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
66431289,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
54315884,6,301.8167,301.75,0.9406,0.8847,0.0031,300.7,303.4,2.7
53713033,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
54521427,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
54668815,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
59131986,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
59140468,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
60058723,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
60496432,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
61076256,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
61094461,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
63041911,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
63310210,6,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
